id,ID ID,1 1,3 3,4 4,5 5,6 6,9 9,10 10,11 11,12 12,14 14,15 15,16 16,17 17,19 19,20 20,21 21,22 22,23 23,26 26,28 28,29 29,30 30,32 32,34 34,35 35,39 39,42 42,44 44,45 45,46 46,47 47,49 49,50 50,51 51,53 53,54 54,58 58,59 59,60 60,61 61,63 63,64 64,67 67,68 68,69 69,70 70,72 72,73 73,75 75,77 77,78 78,80 80,81 81,82 82,83 83,84 84,85 85,86 86,87 87,88 88,89 89,90 90,91 91,92 92,93 93,94 94,97 97
starch,starch,34.7612221,41.58568607,32.78283584,37.18178605,41.31909927,53.47742586,35.03626395,39.44132147,32.88930594,35.73639007,41.68809745,39.21216389,36.30026485,44.30076144,40.01301484,37.54494361,46.95843736,38.98847208,40.90050658,38.45270177,36.65654486,38.3533043,36.0319382,34.18288919,35.24891006,37.37737596,45.04734595,35.50144915,41.64443087,40.44432694,36.75584146,37.06326001,41.31104448,35.76869961,38.86197054,42.05106806,44.55771408,37.05838145,28.53962092,37.88230981,40.51765371,43.01167371,36.20359985,32.88372274,37.73255943,41.03401847,43.34619884,41.33931295,39.11939539,42.68961937,44.66603872,40.30489738,35.59029344,35.78879965,42.03258708,44.99597755,50.57736619,47.5696722,59.04495743,46.00010753,47.14704471,37.66857641,36.95249004,48.27421544,40.08408051,36.91213378,46.39510472
prot,prot,17.28892829,20.7432938,18.28200114,18.37153724,21.00377795,19.86293006,19.34384937,17.2783009,18.07535266,17.52650394,18.85963986,17.17229203,17.96001629,17.55501987,19.24349453,18.48735083,18.03890188,16.7859529,19.74661327,16.51296109,18.34353703,17.67035462,18.46028684,20.54560088,18.27255928,17.36640135,19.77859104,17.18088167,17.526123,17.17495902,19.10641573,18.62135721,16.05118111,16.75812149,18.40588337,17.93218988,19.16366559,18.49368036,18.24868245,18.90718492,16.80310899,17.78449688,19.08510631,17.49657534,19.10512998,17.27084374,18.70403611,20.00179636,18.50274174,16.55943336,19.46224568,14.570422,16.10550167,17.05843486,17.30426782,16.87944703,18.23261791,19.3810384,19.02721778,18.68105464,17.68887861,16.6563085,17.0914285,18.54699148,18.48642295,14.81720886,18.99613371
chl a,chl a,0.571168199,0.601577379,0.549124724,0.528929233,0.701798068,0.549402512,0.66559255,0.594059617,0.606269789,0.48785608,0.599782997,0.469984402,0.548082871,0.507041853,0.594227893,0.584844811,0.527473654,0.581079718,0.581694241,0.509691463,0.503406694,0.552702052,0.558581515,0.569747991,0.496260992,0.575232912,0.626656054,0.494463118,0.569698213,0.519716194,0.531414994,0.532744779,0.647718601,0.537895917,0.604482617,0.57619949,0.57472755,0.574110575,0.550970083,0.603318292,0.510995121,0.632881004,0.516255734,0.568990647,0.512085107,0.567218881,0.593152206,0.614431402,0.598798541,0.522817014,0.587966864,0.464568001,0.523779893,0.533276978,0.511388667,0.50062486,0.625270565,0.551540933,0.638632764,0.587274986,0.531975002,0.505300077,0.573406352,0.614202943,0.51801784,0.495769047,0.57692701
chl b,chl b,0.138382507,0.162734513,0.133053874,0.139917733,0.161433872,0.124789782,0.158798304,0.146784059,0.151115716,0.120203938,0.137818789,0.123681897,0.13013172,0.128668418,0.137167805,0.131681016,0.141741144,0.115971043,0.146405305,0.139157889,0.127700337,0.120606118,0.146052422,0.130831621,0.12529416,0.133012144,0.148308291,0.117426161,0.134639605,0.142366295,0.129732669,0.133313535,0.133509695,0.131727075,0.140140073,0.152544484,0.139711873,0.134484761,0.128718124,0.144095092,0.132208817,0.145844874,0.139804213,0.138932124,0.124736863,0.135023714,0.13690482,0.142350174,0.143228824,0.130940933,0.126707439,0.127165393,0.122426142,0.144070053,0.125667849,0.130170973,0.133611861,0.132625133,0.148995062,0.139507978,0.136136683,0.129529854,0.141749763,0.142192489,0.132846228,0.117420564,0.122952486
glucose,glucose,1.982948682,1.95957327,2.371107559,3.335656453,2.853433832,4.358089435,3.481583828,3.509321067,2.529232247,2.886314746,2.875452745,3.329594645,3.371001517,2.706641571,2.978749239,4.582107476,3.111001439,2.717868056,2.501071027,3.791468987,2.586595637,2.617075819,3.169078309,3.760351754,3.199537402,3.524648736,1.512172399,3.215954497,3.480641489,2.051437598,3.471849387,3.983397424,2.919098979,4.066509656,2.952595027,4.907482856,3.74403482,2.776288514,3.401864224,2.367799177,2.884943393,3.325227535,4.91773189,2.381987052,2.576510889,1.825466796,2.584910853,2.644523545,1.874471341,2.84950167,3.553950337,4.364648606,2.863078454,3.33629715,3.309429102,2.682343584,3.824117617,2.681827122,4.220216113,3.611820612,3.168645107,2.091742375,3.364764274,3.764336575,4.07692067,2.728515753,3.434548405
fructose,fructose,1.350991402,1.47560251,1.141974949,1.782315618,0.920370462,1.655204966,1.844255755,1.265724784,1.361708109,1.642975403,1.782260688,1.269619894,1.320371844,1.107074075,1.300125518,3.428747768,1.5142491,1.415469527,1.120995083,1.42794221,1.226469442,1.259771517,1.610400047,1.678899762,1.607695103,1.40481201,1.493657377,1.889962061,1.280316323,0.900610251,1.654592436,2.107050046,0.773321933,2.443978421,1.415606069,2.164675829,2.044644964,1.501098021,1.264600466,1.64090619,0.879506007,0.935886133,2.237999286,0.975990488,2.087521778,1.559875021,1.355767043,1.745426642,1.456934798,1.536052368,2.531936674,1.4225067,1.218791782,1.577034782,1.813046252,0.823368324,1.672487086,1.645997335,2.085201582,1.610400047,1.116221322,1.356155184,1.803532135,1.845990353,2.399971885,1.837939331,1.529731306
sucrose,sucrose,3.518189701,4.524273417,4.218646895,4.259177005,4.491900924,4.957999939,3.966418871,5.238856556,3.400208816,4.27952264,4.210763727,4.321204526,3.602015639,4.068308924,3.995044622,4.229709242,5.454274167,4.343423837,3.64032991,3.536241974,3.593609609,3.91018856,3.51661044,4.464840258,3.963037125,3.959241844,4.860190968,3.588726483,3.790232505,3.945957236,4.122278444,4.582141424,3.654828556,4.182111277,4.183510899,4.319016839,5.044554512,3.749555527,4.762844687,4.229231188,3.942570632,4.761494257,3.511521709,4.012576353,3.769520556,3.711109282,4.440500827,4.411951088,4.010428231,3.99943722,4.681063304,3.739401625,4.003580731,3.259113207,3.853362353,3.939136648,4.542102669,4.347513031,4.990279275,4.474638554,3.689232323,3.629563557,4.3302236,4.9651378,3.421591684,4.284050593,4.170559489
xylose,Xylose,0.610340796,0.72415832,0.599376493,0.78295077,0.577798759,0.717928429,0.60694081,0.610378737,0.69588715,0.751586947,0.761686484,0.60010765,0.617746275,1.079151012,0.981347856,0.775088914,0.594750467,0.634732018,0.64549786,0.684897779,1.038016297,0.80012571,0.571207599,0.727265132,0.770019392,0.373657871,0.80853909,0.72899643,0.667989232,2.194150879,0.864592631,0.774872125,0.307065622,0.809550488,0.544501311,1.007699201,0.301838038,0.70151304,0.707899792,0.72899643,0.62201864,1.281549242,0.48122521,0.575997957,0.326556843,0.878684725,0.72899643,0.530599245,0.817367751,0.662057084,0.829930376,0.517955849,0.862946173,0.549374571,0.798900049,0.602363247,0.658961685,0.902476099,1.256774971,0.646249634,1.108268937,0.60279661,0.783419041,0.630432195,0.616423206,0.562521452,1.098862128
maltose,Maltose,0.529841401,0.784023097,0.511620847,0.764982023,0.34682697,0.579246829,0.859620441,0.882113088,0.822378253,0.631276074,1.322198617,1.10252159,0.892877936,0.705689517,1.001205829,0.709400543,0.547242853,3.219767815,0.934811378,0.758149667,0.801319232,0.891569404,0.295652079,1.096581546,0.430944158,0.93809221,0.551008025,0.845356615,0.592782486,0.283794364,0.238282376,0.785805222,0.652438376,0.876444058,0.859260202,0.413249219,1.361845955,0.281942364,0.845356615,0.845356615,1.11298882,0.938872664,0.767474705,0.803401609,0.42048111,0.879283929,0.845356615,1.385209189,1.304530504,0.900917815,0.818592667,0.755002571,0.679218086,0.909186648,0.859064736,0.728719186,0.958867506,0.845356615,1.056255669,0.797330276,0.532016246,0.942004368,2.461713297,0.864797197,0.68546829,0.595602501,0.722951294
trehalose,Trehalose,0.185858089,0.121096785,0.212354583,0.397182987,0.196545977,0.414450151,2.367560204,0.172204464,0.189976438,0.44213804,0.283779987,0.117105134,0.108515267,0.406850271,0.519513737,0.951843975,0.246931981,0.501083037,0.225381493,1.498269133,0.288612318,0.410206876,0.439641162,0.441903226,0.838813829,0.44513979,0.425177215,0.451051404,0.221713569,0.448111949,0.655403985,0.234285251,0.395774749,0.474323459,0.652415263,0.443261601,0.684532851,0.426276953,0.252130341,0.451051404,1.417376754,0.452653692,0.39979233,0.132364001,0.878425068,0.614072852,0.451051404,0.575326579,0.421321693,0.13206295,1.236022224,0.453443622,0.249479654,0.188120774,0.467108432,0.451980864,0.431782377,0.321802148,0.73023984,0.332453731,0.317501484,0.202230827,0.194250379,0.597440964,0.12251591,0.592276622,0.439729798
raffinose,Raffinose,0.510995389,1.680686152,1.273339705,1.734477473,1.04729905,1.305257054,0.838341821,0.977903634,1.775932653,0.559335488,1.014386283,0.718691843,1.7250387,1.407793353,2.073005569,2.813864957,1.898574772,1.424545951,1.580133304,0.59570649,1.87844822,1.463067163,0.715097278,1.184022428,0.936275761,3.095461277,1.32323341,1.388331818,2.499958185,1.536715802,0.448132623,2.701801085,1.380450153,2.010015659,0.587106487,2.594426753,1.006455128,0.67813563,0.411923945,1.388331818,2.114436793,3.122334624,0.879112235,0.854285635,0.867652561,0.695195618,1.388331818,0.205677744,3.396364812,1.931119039,0.823207518,0.762287858,2.029558698,0.361858726,0.819992913,1.180771397,5.03904309,1.997716266,1.602248356,0.692740389,0.576410027,0.758764328,1.591751332,1.071076979,0.343386027,1.385393983,0.816586607
"inositol, myo","Inositol, myo",1.496146595,1.726655399,1.585891901,1.966391762,1.588849731,1.605035351,1.811065861,1.785973419,2.847720667,1.441095944,1.77716814,1.339726261,1.206899764,1.911828092,2.821319081,2.868615216,2.361010525,1.591305441,3.053572429,1.672910916,2.248588351,2.873691758,2.430162726,1.99123123,2.220948255,1.634240626,2.696009282,2.188366452,2.010201122,3.963262314,1.648229031,2.532659483,1.755516065,2.687968036,2.041095026,3.267732793,1.857565152,1.774209142,1.401924546,2.188366452,2.407685428,4.156541449,2.030899758,2.366221446,1.998010846,2.136486796,2.188366452,1.598465967,3.583565591,1.978472035,2.143080613,1.214763765,1.955140108,1.566116291,1.521716232,2.542174134,2.722411743,3.161532133,2.368816059,2.238292527,1.77610604,1.977288123,2.361459161,1.90684894,2.246292114,1.845968938,2.752835751
erythritol,Erythritol,0.774085957,0.736473584,0.673528654,0.992697972,0.792212049,0.648885711,0.53102428,0.776999491,1.065269234,0.693913647,0.781726014,0.873293387,0.770815706,1.573110862,0.948704436,0.607175517,1.021246627,0.766053938,0.855542603,0.736731378,0.840639371,0.769928271,0.84309231,0.808409319,0.697684002,0.737199564,0.781640155,0.812371119,0.774153789,0.793882073,0.452005819,1.300527238,0.713752825,0.798589405,0.86822417,0.541818377,1.019052634,0.491293569,1.024385427,0.812371119,0.829695529,1.003102362,0.860710132,0.883744758,0.756765455,0.714852194,0.812371119,1.126953133,0.845046086,0.92332352,0.736815098,0.721093104,0.756922556,0.674157995,0.897334464,0.840287324,0.757399257,0.823667046,0.947961044,0.941831,0.686841206,0.989396238,1.053464607,0.699109321,0.563121552,0.822336236,0.30049416
aa,AA,19.17088198,19.25722774,19.27321504,17.36730497,19.5753372,21.02294109,17.67832032,18.18927636,18.12110472,18.34067024,19.71784466,18.83302649,23.78200116,20.58201766,19.56052449,20.0134679,17.73620888,20.61961106,19.94154979,17.42159248,17.82807211,20.18009644,19.81492998,21.2378054,14.74331164,18.61842908,16.45637758,17.14529881,17.46131574,19.66794829,18.62973636,16.99282639,18.18314261,18.42907819,21.54546543,23.06279048,17.86340705,17.01553651,20.87398258,21.77243988,17.05552831,21.81898531,17.95451361,17.57089314,17.61041147,19.13352999,21.55360614,18.33051006,19.86747749,20.47106334,20.90076628,15.67621072,17.81478768,17.51438774,18.30202764,18.99022213,17.25622538,18.26301534,21.9121969,23.06209396,19.41676364,15.21866526,18.63275986,20.62803406,19.826727,13.0309777,24.29824738
alanine,Alanine,6.986319076,7.85101904,10.87041262,5.348458355,9.171055028,9.054339589,5.884574273,7.424703913,7.940465491,6.338756392,8.1242565,8.670734577,5.91490909,7.215226719,5.571619306,11.37707635,11.51077156,7.449025894,9.359759674,6.754181156,4.805853042,8.939113378,10.26808207,5.48561816,7.90637917,6.178282681,7.684942527,7.684942527,4.559365432,13.10838755,7.032438629,7.37462469,5.98428197,4.811005551,7.544658588,7.684942527,12.11475552,9.487820947,7.25799189,7.684942527,5.873878308,8.49047805,7.476919473,7.290277455,10.03114571,8.206690507,7.684942527,7.684942527,7.684942527,6.104178639,7.684942527,5.259260533,6.591359679,7.561320676,5.375929616,8.632638351,6.744281259,9.054817612,6.995128919,7.207169975,7.521070753,4.059707096,7.392738869,7.684942527,5.947489713,7.684942527,7.684942527
